element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
H,-0.4862888,-0.28519487,-0.009094415,-0.05151911,0.042997867,2.028198,-0.4196,-0.40016705,-0.23272668,0.54554236,0.82119715,0.46510413,-0.18676552,0.54572,-0.31071424,-0.51633674,0.16329072,-0.00970988,0.38676322,0.22385457,-0.30139184,0.043426257,-0.3608883,-0.035536602,0.06388008,0.24093379,-0.32307497,-0.08804135,-0.11180782,0.34386808,-0.35365266,0.05643163,0.29705024,0.5413095,-0.09587093,0.41287345,-0.186612,0.10916294,-0.08563105,0.23481792,-0.19096355,0.089038946,0.0717678,0.236224,0.10990193,-0.38606632,0.27056658,-0.3791739,-0.017796844,-0.24078137
He,-0.54253817,-0.5355159,-1.4643162,-0.06517059,0.8489285,0.70577276,0.022851761,-0.6094341,-0.015852675,1.3531144,-0.206574,0.35539627,-0.11881952,-0.3943107,-0.21092016,-0.12393556,0.17842785,0.1560978,0.36861596,-0.370786,-0.37407812,-0.5591574,-0.18890497,0.10695266,-0.24897836,-0.71081924,0.38983694,0.08472195,-0.015590131,0.013591044,-0.22756258,0.14029016,-0.096145004,0.19978695,0.022392131,0.4067927,0.114786275,0.19383794,0.1806182,0.10747874,0.08665264,0.047331836,-0.16495946,-0.15265921,0.38381028,-0.10426676,0.024000786,-0.12376453,-0.08516497,-0.21021038
Li,-0.2381912,1.0412644,0.47686562,-0.746849,1.1764034,0.16343348,0.11039461,-0.11596067,-0.37987867,0.19644171,-0.36611688,0.364403,0.30437204,-0.7266381,0.04607953,-0.36687836,-0.08950709,0.23105441,0.29277462,0.41028833,0.6462257,-0.04497777,-0.5347156,-0.09727962,-0.18136048,0.15896034,0.34705174,0.1731063,-0.22605793,0.22674158,-0.025615724,0.17460212,-0.34977624,0.28105906,0.07029036,-0.14811051,-0.019833222,-0.04096659,-0.3031016,0.37847564,-0.27240384,-0.03820411,-0.28376183,-0.31748748,-0.09564406,0.031163549,-0.042606622,0.25708792,-0.3848483,0.15067276
Be,-0.36018685,0.30413377,-0.019093174,0.04693424,-0.7101334,-0.27381766,-0.34507686,0.518999,0.53368664,0.31944805,-0.22582379,-0.35988486,0.20866176,-0.056604214,0.62615705,-0.47605842,0.11543509,0.20458049,0.087757975,-0.10639842,0.0021783663,-0.6382832,-0.16547962,0.0005400665,-0.25554362,0.17095733,-0.29038808,0.44663697,-0.01560184,0.2004335,0.17894682,0.15163873,-0.3994256,0.18478733,-0.20174815,-0.20296967,0.0035591573,-0.116380796,-0.28600386,-0.21231082,-0.15263525,-0.05894135,0.15612029,-0.29689822,-0.06459416,0.43270442,0.18339449,0.04570384,0.28100228,-0.108449325
B,-0.71622765,-0.07141289,-0.0450479,-0.14817849,-0.13020949,0.5321909,-0.39570752,-0.9444295,0.39627188,-0.8102937,-0.12031782,-0.08180428,-0.29563242,-0.4406968,0.10469136,-0.058634646,0.7463093,0.18189609,-0.34350663,0.30926958,-0.63735163,0.27445725,-0.17710763,-0.026974617,-0.34615493,0.08085321,-0.15170795,0.42225054,-0.32588595,-0.16220438,-0.03475166,-0.028750435,-0.053678103,-0.15442365,0.6527769,-0.23369102,0.06634531,0.16631803,-0.310041,0.11863079,-0.14920922,-0.25580356,0.13649887,0.07615972,0.5840124,-0.051223487,-0.2195993,0.022851428,0.0095532015,0.04688794
C,-0.05126083,1.1260763,1.6389542,-0.5978811,0.82205045,2.0650535,-0.42800796,0.9755545,1.4049034,-0.026296474,0.75961125,0.76752067,-0.18752319,0.4105626,-0.7411424,-0.2527149,0.12587412,-0.141384,-0.08146402,0.033266596,-0.10276708,0.9069965,-0.02275689,-0.25603145,0.22820993,0.06054936,0.29743344,-0.10574344,-0.36172718,-0.4143222,0.36136824,-0.3234439,-0.16670287,0.20365404,-0.1065314,0.08459578,0.19582094,0.29366148,-0.19185856,-0.15168107,-0.20576335,0.06012784,0.2373148,-0.3134226,0.10870092,0.076917194,-0.2046312,0.0059087723,0.010051842,-0.06610708
N,-0.32124788,0.64161444,-1.1770335,-0.92572737,0.4276155,0.9271362,-0.9338081,-0.4719962,0.2388778,0.20479894,0.11192971,-0.19960955,0.28833959,0.1173324,0.04066056,0.14293186,-0.3104503,0.14684068,0.31331322,-0.03821986,-0.29928523,-0.031962633,0.28915325,0.49748552,-0.03715218,-0.33510113,0.15173051,-0.09870727,0.15900555,0.09875126,-0.23740768,0.23779134,0.6686045,0.01660452,-0.0053857043,0.1305555,0.039893374,0.3181073,-0.27151063,0.6224649,-0.18082598,-0.36810094,0.077032104,0.18627876,-0.31101888,0.17997238,0.2040441,-0.019489812,0.48252404,0.124304846
O,-0.8345668,0.04786523,-0.66872954,-0.46101943,0.27497387,1.6881205,-0.4506964,-0.1411832,0.42933363,0.1584593,0.30636922,0.34151566,0.062099397,0.040465016,-0.01203949,0.12269087,0.23273104,-0.3245956,0.15369092,-0.1257333,0.20268029,-0.09878712,-0.07211616,-0.101663455,-0.41152194,0.05693354,0.106116675,-0.05780128,0.11555758,-0.076413676,0.098948166,-0.004704738,0.38594425,0.23132887,0.099980734,-0.13492608,0.21544781,-0.40881628,-0.20417348,-0.526238,-0.100008376,-0.090116955,-0.5266638,-0.14346062,-0.35979462,0.1212717,0.030618906,-0.20741278,0.40863222,0.13176084
F,0.8112711,1.4778228,-0.8652456,-0.24102251,-0.8406187,0.3779426,0.15578972,-1.1108682,-0.025140509,0.77424204,0.16779381,-0.2605286,0.05264943,0.26870224,0.28512037,0.775865,0.26597875,0.74095213,0.20990369,0.6794852,0.045446105,0.046862595,0.23414825,-0.27858433,-0.017747886,-0.044894397,-0.69381547,0.2409795,-0.23763686,-0.23280624,-0.19005826,-0.17788671,0.30868685,0.09943218,-0.02699083,-0.0333822,-0.007891435,-0.015083939,0.07629072,-0.31820095,-0.08711427,0.5909883,-0.19500107,0.44115698,0.37884068,0.13298172,0.13602585,0.11367296,-0.19397351,-0.116758764
Ne,-0.33208796,0.39679185,-0.23847789,-0.5099377,0.40506294,0.49274993,0.49702954,0.005681009,-0.21525651,1.555959,0.28653735,0.19050673,0.563095,-0.57043326,-0.18134865,0.42793125,0.15700153,0.13709915,-0.15326527,-0.20918775,0.117683426,-0.53428435,0.3117242,-0.15295324,-0.61893666,-0.12144094,-0.3845625,-0.18220587,0.40793297,-0.24558493,-0.040481832,-0.3663987,-0.06561897,-0.29931915,-0.2743541,0.038199853,-0.007789932,-0.048364893,-0.14545631,-0.010859619,0.31352988,-0.21017636,-0.20288236,0.2183605,0.006185755,-0.04868379,0.0035881847,-0.18565916,-0.1614458,-0.020823162
Na,-1.2771982,-0.9978717,-0.5088864,0.042161614,0.3556465,1.0107205,-0.114118546,-0.080939576,-0.512395,-0.6113764,0.19786532,-0.97940874,-0.09024971,-0.27494568,0.013292558,0.25784546,0.17873955,0.14431565,0.6375102,-0.27752233,-0.30814412,-0.22672307,-0.01581053,0.12732482,0.20031439,0.07136129,-0.58067435,-0.45594746,0.20853518,-0.22894087,0.00431652,-0.021299776,-0.10596228,0.6606535,0.2057962,0.108893156,0.008821028,0.15573105,0.20185892,-0.23817608,0.30128372,-0.15381864,-0.0733179,0.13612866,-0.08729812,0.013091657,-0.107497096,-0.106900156,-0.42351347,0.27418882
Mg,-1.0545199,-0.15103827,-0.59950745,-0.027594704,0.17286484,0.077786624,-0.40678263,-0.6358655,-0.21849422,-0.44127214,-0.0861762,0.35529023,0.19267148,0.16846982,-0.058798395,0.41946694,0.36992103,0.35017186,0.07018478,0.044768628,0.1552867,-0.16358829,-0.02455698,-0.47545058,-0.22568354,-0.005014467,0.19420132,0.12443499,0.21732299,-0.18032083,0.17708534,-0.15842271,-0.5065757,-0.07927141,-0.016042743,0.07105372,-0.49366617,-0.17663714,0.20944285,0.2175237,0.44871247,-0.47254646,-0.009291399,-0.50878435,0.2310619,0.0584918,-0.090382546,-0.19366208,0.21942878,-0.3014515
Al,-1.9052176,-0.55273527,-0.34449682,-0.14152597,0.011649542,-0.07457723,0.32897955,0.7367414,0.38645676,-0.10253571,0.6435374,0.01779265,0.3360961,0.94637907,-0.14733034,0.24201694,0.43489772,0.49127585,0.097181275,-0.120334215,-0.040191554,0.10793766,0.23147538,-0.1838939,-0.35024706,-0.062949516,0.23687261,0.054625917,0.83417046,-0.10546467,-0.058348067,0.6057062,-0.024473784,0.12682322,0.14937922,0.06066377,-0.21792805,-0.027598986,0.35792434,0.109741524,-0.1538383,-0.050181344,0.11730399,-0.40182504,-0.06067241,0.07545217,0.24035808,0.35841304,0.02347295,-0.023826536
Si,-0.3457168,0.9211738,0.53308094,-0.33087862,1.863575,0.3040705,-0.7780267,0.26517352,1.4019682,-0.18680936,0.114440545,0.095737256,0.4804204,0.011847384,0.23298524,-0.40517837,0.55399173,0.14954127,-0.5002934,-0.12429458,-0.14795361,0.17964497,-0.22540107,0.47269693,-0.052247565,0.40464857,0.027598456,-0.3304993,0.075418204,-0.1332305,-0.3661319,0.16751146,-0.019209696,0.17162186,-0.022334993,-0.33709386,-0.46542925,0.29227448,0.13413689,0.056759793,0.11639235,-0.2479701,0.07638601,0.11940278,0.11435414,0.15852061,0.18887901,0.21855542,-0.45507923,0.37953407
P,-0.832867,0.59226507,-1.3956409,-0.10721939,-0.040252,0.42533618,-0.29327697,-0.62798274,0.23494713,0.15569979,-0.22685218,0.42846477,-0.33076212,-0.14234036,-0.02324531,-0.5237067,-0.2843277,0.124075204,-0.054304894,0.7272182,0.21565276,0.8185986,-0.4843726,0.4196235,0.9798436,-0.36061493,-0.059331693,0.03173224,0.6441386,0.19771135,0.08346176,-0.47472912,-0.10467176,-0.52191037,-0.32504052,-0.030898795,-0.24455869,0.12849608,0.21027924,0.07831871,0.004456252,-0.02316668,0.13595074,0.23426177,-0.19519785,-0.117399834,-0.06641304,0.19350019,-0.004003315,0.17124104
S,-0.8386018,0.40057778,-0.7314656,0.16309586,0.17289469,0.6558366,-0.41384077,-0.34047776,-0.21436805,-0.5241611,-0.39190987,-0.052035592,-0.16955379,-1.0072458,0.42933464,-0.21374495,0.09278326,-0.593313,0.50127274,-0.11451299,-0.8179661,-0.045242254,0.7729508,0.19231865,0.08207577,0.08693582,0.5097627,0.2560398,0.048607327,0.040615376,1.0939045,0.23140872,0.3254531,-0.19729802,0.23220876,0.1895611,0.14612891,0.21880412,-0.26109073,-0.29291818,0.13775253,-0.18046322,0.16310188,-0.047358885,-0.20117897,-0.32434085,-0.44966576,-0.15068705,-0.12559076,-0.38329637
Cl,-0.72748137,0.13252214,-0.2842906,-0.77073145,-0.7875205,0.961689,0.9315765,-0.3337384,0.16287011,0.19618022,-0.8701215,-0.4416427,-0.046434257,0.32654482,0.06710454,0.20344704,0.07454386,0.10723005,0.024676796,-0.105707124,-0.20783883,0.12855405,0.37397313,0.4157977,0.032917544,-0.23816656,-0.16260149,-0.060924724,-0.38799325,0.25522336,0.15880758,0.77762276,0.41480845,0.007061992,0.24851811,-0.10844177,-0.31876084,-0.15831104,0.013085663,0.3484931,-0.024631001,0.3778403,0.085714966,-0.061501987,-0.30332246,0.07627967,0.33178246,0.0052998923,-0.19512314,-0.1593559
Ar,-0.35136935,0.72122097,0.2945816,-0.68768466,0.9594189,0.9155787,0.40916348,0.03041124,-1.047141,1.2959354,-0.48863345,-0.26905793,0.6826292,0.16492671,0.35017103,0.2644248,-0.113476336,-0.11057616,-0.299716,-0.7717354,0.0020242361,0.48708954,0.30478042,-0.2250104,-0.2881742,-0.19828407,0.72115993,0.5396323,0.12204975,-0.20171301,-0.1268247,-0.35885677,-0.42838374,0.20215657,0.2260251,0.3235294,-0.1558414,-0.027031673,0.13396358,0.20849963,0.2086123,0.27643463,0.011966774,0.5037601,-0.0018786192,0.003138382,-0.19109708,0.016487004,-0.03734775,-0.025852423
K,-0.75257486,-0.26875317,-0.25872672,-0.01035374,-0.09505522,0.9901453,0.064578846,-0.3555957,0.023480095,-0.70848984,0.6125722,0.39593336,0.068242826,0.20365697,0.015516124,0.21146907,0.27855825,-0.40676004,-0.16049029,0.07701043,0.64286697,-0.44483858,0.152502,0.13950257,0.16017318,0.28956872,-0.23252241,0.016587904,0.34395295,0.03731393,0.09634723,0.22240576,0.03681892,-0.24727526,0.15025032,-0.1982592,-0.16153859,0.08327844,0.4711843,-0.20514172,-0.0814803,-0.002766883,0.12854637,0.009835828,-0.20033988,-0.19622421,-0.1316554,0.074286796,0.0790226,-0.122632705
Ca,-1.1588798,0.34963232,-0.020523936,0.16914685,-0.75951874,0.6875206,-0.16703376,0.03727442,0.63994837,-0.3506631,-0.88189954,0.2746191,0.096630916,0.004050141,-0.03172694,0.33930182,0.449701,-0.49333543,0.15862364,0.10765393,0.4397866,-0.14958063,-0.13792542,-0.26577532,0.6660144,-0.020481814,0.22281826,-0.3052246,0.06820744,0.060516823,-0.17828141,-0.36856723,0.02400668,-0.17712377,0.016587773,0.1460831,-0.27156302,0.60479903,0.011252073,-0.35397604,0.008227646,0.06875338,-0.419593,0.051005356,-0.26528144,-0.19659859,0.40073177,-0.37271446,-0.030308409,0.051600374
Sc,-0.5969832,0.84937054,1.7770147,0.2295896,0.19874272,0.06972176,-0.6127058,0.3975398,-0.41710347,0.21249586,-0.16763121,-0.9134138,0.51155496,0.33496982,0.00064253435,-0.3476694,0.047333315,0.23071203,0.05596473,0.32950306,-0.42383087,-0.40758806,-0.17316017,0.143628,0.20707144,-0.04606169,-0.0057678,0.19232829,-0.0054571815,0.11802436,0.06270912,0.3149876,-0.23016259,-0.4861017,-0.055975456,0.33488792,0.032872155,0.08604414,0.61940455,-0.34210443,0.07240097,-0.024143063,-0.07010559,-0.11615665,0.009984864,-0.13484922,0.15563594,-0.35164618,-0.23143163,0.004966794
Ti,-1.3936069,-0.2361925,0.044543296,1.8387687,0.059341732,-0.059624605,0.14819998,0.66662586,-0.5645226,0.35105565,0.015602177,0.41611278,-0.06674123,0.05342327,0.2628705,-0.20534143,0.070650294,0.11673115,-0.15293807,0.46667522,-0.082754925,-0.19535911,0.0031648828,0.06210956,0.09919687,-0.12741444,0.21653137,-0.3290441,0.086485825,-0.067444086,0.091481075,0.31793886,-0.03515272,-0.09851418,-0.15821993,-0.08798557,-0.27578974,0.28053397,-0.16727388,0.16738588,0.48024714,-0.031234946,-0.28801283,-0.3263185,0.06379118,-0.07047894,0.13176724,-0.04692094,0.28794277,-0.18956216
V,0.4125259,2.4944663,-0.36838853,0.645442,-0.30298683,-0.23543711,-0.2513131,-0.29962826,-0.19746196,-0.44476765,-0.03628528,0.18880175,-0.6755563,-0.1999102,0.16337861,0.3098233,-0.28806072,-0.15166721,0.18535689,-0.46840554,-0.34873462,0.5128731,-0.23275492,0.04931923,0.03682199,0.2858175,0.45729774,-0.4199077,0.107827954,-0.14412807,-0.22938363,0.054693542,0.11455483,-0.26376852,-0.3084275,-0.21865937,0.487625,-0.051106453,0.02821415,0.5190632,0.028576456,-0.04733356,-0.25549304,-0.083808444,-0.14017676,-0.018977202,-0.32784706,-0.01283575,-0.1386297,0.19391295
Cr,-0.9645945,0.27277464,-0.1003433,0.29612544,0.40585518,0.10871514,-1.026119,-0.24950168,-0.41551718,-0.6828414,-0.11641846,-0.01710614,-0.51532865,-0.39616698,-0.050453752,0.12013443,0.03330771,0.10560121,0.06774454,-0.28316474,0.23046605,-0.21278012,-0.13402352,0.2669098,-0.33910137,-0.48029166,-0.31033766,0.11765773,-0.2856848,0.26449174,-0.084337495,-0.1406817,-0.30857566,-0.4056828,-0.043236893,-0.3000412,0.16023856,0.0020270124,0.18485859,0.025661055,-0.109570324,-0.04509309,0.1188091,-0.0019036392,0.111580454,0.016214292,-0.20086037,0.1504432,-0.28411052,-0.3246013
Mn,0.465454,2.6517506,-0.049717225,0.54733044,-0.5943464,0.686796,-0.625201,0.12059824,-0.74346125,-0.8879039,-0.54038036,0.3472212,-0.58735275,0.33935133,0.11195912,0.5787066,0.07107552,0.09043201,0.35690054,0.04958871,0.15177332,-0.30480528,-0.4042194,0.10497031,-0.28864488,0.038607284,0.329525,-0.4258226,0.03285179,-0.2819687,-0.07112975,-0.33608687,0.1252518,-0.022914402,-0.038149484,0.17262153,-0.37584364,-0.45424122,-0.043525435,0.1358761,0.0060307756,0.27168885,0.1811217,0.033024076,0.0695661,0.25653905,-0.29562217,-0.07682791,0.2651442,0.37240434
Fe,-0.8070954,0.50844646,0.012489914,0.46410155,-0.057030737,0.80986,-0.70076066,-0.6724373,0.06853654,-0.56758404,0.38334352,0.49495873,-0.33478454,0.7208551,0.053014874,-0.07471533,0.26753536,-0.42954227,-0.2108473,0.0021448545,0.54138696,-0.45379236,-0.3409239,0.14481121,0.13775408,0.15332897,0.29860398,0.0011701398,0.07164039,0.1778758,-0.2753587,0.41211814,0.008782272,0.0927817,-0.3356483,-0.061262928,0.1276309,-0.30360055,-0.12556449,0.11700445,-0.0071291327,0.47470802,-0.15887196,0.10473029,-0.029011067,0.16223386,-0.17965335,-0.21043327,-0.38763314,-0.16252093
Co,-1.4346032,-0.5974785,0.30445024,0.459534,-0.12585816,0.37181085,0.27698612,0.26662642,-0.31266308,0.08825602,0.2428428,-0.42002004,-0.28194806,-0.2376852,-0.5153056,0.21220875,0.23138574,0.15908228,0.28682032,0.2754885,0.3547773,0.27204248,-0.44217622,0.2674204,-0.25738448,-0.41810012,0.6390728,-0.24286449,-0.31499422,0.08409483,0.031936765,0.20278075,-0.21389261,-0.035101123,0.23931468,0.04638276,0.50371706,0.002646368,-0.08002134,-0.16128224,0.23959997,-0.23303472,0.09102877,0.38279277,-0.31005082,0.24329337,0.2549101,0.1683209,0.0140832085,0.1975634
Ni,-0.1539695,1.0939492,-0.6784556,-0.23465845,1.2689633,-1.1161319,0.81799996,0.1661685,-0.41287202,-0.7143371,0.5973842,0.20302816,-0.011478633,0.13757947,-0.25221288,0.06699133,0.24928641,0.042920668,0.106674865,-0.34509942,0.13529481,-0.18053354,-0.25702053,-0.5435852,-0.041768182,-0.062407807,-0.21127726,-0.09663355,-0.07141482,0.00968679,-0.3522643,0.3337311,0.04577051,-0.14263558,0.21818286,-0.30023494,0.6948149,0.16287145,0.21971115,-0.12721421,-0.18215443,-0.032638814,0.38293043,0.11634253,-0.47041312,-0.057932913,-0.39463437,-0.097571924,-0.44294894,-0.20135288
Cu,-1.035651,1.4885755,0.26797098,0.5609796,1.0456568,-0.30529574,0.29601067,0.5050887,-0.4690412,-0.31060207,-0.9038027,0.12503648,-0.4620815,0.08003765,-0.079051994,0.45575666,0.2718447,-0.38142586,-0.5710391,0.06468468,0.12320237,-0.041702174,-0.15962853,0.081459284,0.15424192,0.166152,0.21308705,0.49397677,-0.07988633,0.04335025,0.16914989,0.001471825,0.21066786,0.11448535,-0.27709848,0.25861353,0.022184532,0.18424779,-0.2257129,-0.15612152,-0.14129183,0.47903606,-0.27992284,-0.27233517,0.20810115,0.34575677,0.09327643,-0.15287143,-0.037314575,-0.041224517
Zn,-0.60497016,0.056210186,-0.19420312,0.47106588,-0.14663443,0.8681242,-0.4244231,-0.02269252,-0.22880977,-0.45503873,-0.13659942,-0.12779371,-0.4175185,0.058076866,0.017280001,0.40224448,-0.01044634,0.008441621,-0.34823528,0.14143956,0.5813414,-0.07931228,0.5082308,0.16645986,-0.94129795,-0.6173786,-0.041402034,-0.120935924,0.2491453,0.108518854,0.070998825,0.04555442,-0.21249583,-0.45037562,0.023908105,0.1727889,-0.21671882,-0.2483401,0.3071282,-0.26051807,-0.0831593,0.2661042,0.19867253,0.1085856,-0.13602181,-0.2415671,0.16439351,0.35707116,0.18299104,0.13639225
Ga,-1.0913265,-0.10440955,-0.744533,0.9537933,0.044809032,-0.38713026,0.6105088,-0.08078726,0.26127988,0.6117308,0.1778241,-0.061132457,0.61979705,0.53067327,0.28423828,-0.4819349,-0.042900283,0.3791607,-0.72764957,-0.052257843,0.030200295,0.16188064,-0.09306668,-0.12036802,0.1345612,0.0038546566,0.3773038,-0.032778494,0.20345442,-0.09497195,0.049460366,0.020728536,0.23708552,-0.1333611,0.29788193,-0.61877716,0.23857826,0.15639909,0.22875002,-0.3848535,-0.024955764,0.14913961,0.087883644,0.0033466667,-0.16796644,-0.24704891,-0.2019163,0.13358086,0.20042546,0.27027458
Ge,-0.26719898,0.018144157,-0.14591707,1.2749674,0.21299991,-0.07728596,0.22788128,-0.003190659,0.4863512,-0.3246429,0.23866454,0.5553671,0.3327632,0.5030121,1.873775,-0.46826196,0.27962077,0.27843314,-0.59584284,-0.5817189,-0.9805064,-0.09547024,-0.20996991,0.18195406,0.015408039,0.21098101,-0.5151752,0.03773188,-0.082313724,-0.11746439,0.045724347,-0.031396016,-0.20255876,-0.20107272,-0.23905796,0.48834535,-0.14540055,0.34891897,-0.24211107,-0.27223766,0.13933808,0.044579275,-0.0024984777,0.3447045,0.047369324,0.23227987,0.080679916,0.08781404,-0.076780446,-0.07930015
As,-0.64521366,0.5773475,-1.0660313,-0.45823407,-0.37008092,0.43343118,0.4342025,0.7169191,0.72891796,-0.8777561,-0.038899746,-0.07815698,-0.28812462,0.6381593,-0.37885728,-0.44983193,-0.62356913,-0.25997385,0.13816188,0.41602418,-0.7524285,0.1477513,0.13450888,-0.3125895,0.12069444,-0.031034056,-0.1196686,-0.26399902,-0.19724162,-0.28519616,0.45758504,-0.4406911,-0.6201138,0.117431834,-0.109086245,-0.1941337,-0.08746253,-0.07595821,0.35426104,0.20235503,0.20722462,0.12982881,-0.35646674,0.2080688,0.32625166,0.038775593,0.04742992,0.118902825,0.09793438,-0.18881905
Se,-0.59654355,-0.056770504,-0.26842174,0.07593787,-0.02527206,0.7629931,-0.12938634,-0.17496902,0.03721841,-0.9492054,0.20433319,0.7514647,-0.020006659,-0.673114,0.110285945,-0.13782461,0.10464683,0.31382027,-0.8174389,-0.04705215,-0.020745743,-0.3323943,0.2007949,-0.26218274,-0.39430583,0.07083483,0.17252193,0.2927816,0.63371646,-0.029332776,0.09607487,0.05523573,0.25932226,0.22668862,0.044917203,-0.115561,-0.16308203,-0.516256,-0.0041480917,-0.3495521,0.043584317,-0.14969802,0.14945652,0.4079643,0.37347993,0.08641019,-0.25214258,0.060547456,-0.1737603,0.08510116
Br,0.51793575,1.8381274,-1.5630652,-1.0865726,-0.9243089,0.03409324,0.9450351,-0.37014714,-0.58540815,0.5167029,-0.59042716,0.23035759,-0.20757486,0.25614908,0.43725663,-0.3330328,-0.45491773,0.5688162,0.3509746,0.37747836,-0.16257155,-0.024887383,0.53035384,0.10317437,-0.024366796,0.4567247,-0.21918795,0.19721474,0.036618322,-0.23512231,-0.26733264,0.1225195,0.31463528,0.2685907,0.20968215,-0.011108357,0.21788499,0.14695767,-0.03193641,-0.10626742,-0.002796568,0.097824484,0.39551044,-0.50617,0.19810157,0.46984965,0.103516206,-0.18297115,-0.28289545,0.26510096
Kr,-0.46793142,-0.8246287,-0.27485347,0.03333573,0.6808152,0.5948186,0.08908507,-0.700832,-0.6586158,0.8573722,-0.04920288,0.27471024,0.37877977,0.07985728,0.022732373,-0.2332452,-0.55285037,-0.5712723,0.32327777,-0.6620545,-0.10711009,0.03733137,0.10452856,0.06510277,0.23758596,0.31271648,-0.447558,0.24357043,-0.15602371,0.28377122,0.148418,-0.5290401,-0.390662,-0.14689514,-0.012346245,-0.2931037,0.37167302,0.1487699,0.13110587,0.15787432,0.28305018,0.46505034,-0.03674896,0.037025087,0.17184608,0.2078968,-0.11309756,0.57587194,0.20737144,-0.07142444
Rb,-0.20001787,-0.07287374,-0.29407305,-0.56819636,-0.71804136,-0.25650364,0.26731285,-0.89441395,0.15169357,0.0126116,0.15681542,0.6369146,0.21349531,-0.7618327,-0.26351434,0.065186016,0.2817434,-0.18259564,0.19239847,0.5176294,0.26132974,0.029260296,-0.2659906,0.11748705,0.23482513,-0.12200896,-0.057618417,0.19584413,-0.24427569,0.3710354,0.09206986,0.24899077,-0.49106902,0.37072337,-0.3146484,-0.18511203,-0.07442083,0.27223003,0.17487773,-0.29782856,0.24810728,-0.08195705,0.28552344,0.3728789,0.12865607,0.1592017,-0.12374805,0.09607102,0.38728774,0.1875053
Sr,-0.50447834,-0.3560853,-0.1020172,-0.7621566,-0.09805939,-0.6179441,0.43570447,-1.1183605,0.09003116,-0.9196147,0.30225268,0.2414614,0.16231228,0.12702504,-0.13949905,0.4380347,0.072958924,-0.012750883,-0.33293116,-0.5102184,0.34525466,-0.043796238,0.3328259,0.24861324,0.45474246,-0.1202693,-0.17085429,0.5457001,-0.48219526,0.17981878,-0.3181771,-0.5473052,-0.49796617,0.19542852,0.13204056,0.0033509284,-0.05912178,-0.026074681,0.16207574,-0.05598446,0.07387515,-0.11169543,-0.0077858735,-0.29789868,-0.077586286,-0.2869665,0.08720268,-0.41179734,0.18096557,-0.06877975
Y,0.14912404,0.63944745,0.755347,-0.46744233,0.71415085,-0.8531758,-0.9057874,-0.45745403,0.48825657,0.22153944,0.07818947,-0.458447,0.68898255,0.4430177,0.38612726,0.2326232,-0.22663277,-0.9195618,0.07526724,0.24772356,-0.43447268,-0.24747983,0.14674759,0.23214692,0.17574804,-0.428536,0.0628733,0.19068314,-0.25313708,-0.10616075,0.33752957,-0.30340475,0.6595013,-0.24688715,-0.06658366,-0.3087709,-0.020156866,0.007674873,-0.08553323,-0.36515743,-0.13312693,0.24413285,0.08318676,-0.005994264,-0.288872,-0.102775425,0.22800936,0.1098387,-0.027724536,0.08421028
