element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Zr,-0.7915567,-0.22344908,0.2807947,0.73025733,-0.13029717,-0.05628717,-0.19526193,0.20335796,-0.3135277,0.75452626,0.36544812,-0.5204145,-0.20531882,0.20353433,0.41640687,0.035184562,0.5295695,0.074345216,0.25965035,-0.00744655,0.21404913,0.18527594,0.25694367,0.43280524,0.28424123,-0.20078796,-0.1688501,0.2250688,-0.06186549,0.28029504,0.029717725,0.0856229,-0.25417775,-0.21635595,-0.071589135,-0.13009858,-0.07095228,-0.0026203706,0.006754212,0.007076645,-0.34461316,-0.25615066,-0.1436909,0.14870006,-0.17403406,0.26269913,-0.2641614,0.02855664,0.009542957,-0.007645297
Nb,-1.0584668,-0.3911373,0.18495291,1.1695359,0.06310024,-0.12020944,-0.47564948,-0.061078683,-0.56325984,-0.18568549,0.14361736,-0.1622768,-0.19660705,0.28631043,0.6098763,0.33164692,-0.28333524,-0.12813453,0.2855662,0.020901024,0.0966833,0.1086093,0.12095578,0.38519213,0.08185002,0.32130563,0.3955623,0.5272198,-0.3499787,0.0217648,-0.09552269,0.04592555,-0.32290524,0.31603286,0.30942917,-0.3421705,0.040239595,0.43207365,-0.094788104,0.10293896,-0.17237978,0.05657909,-0.37871146,-0.06223156,-0.22569215,0.050451897,0.26280612,0.21187061,-0.08816518,0.22058624
Mo,-0.93472433,0.5649243,-0.24220264,0.9382427,0.058027867,-0.89708155,-0.9146392,-0.19311282,0.42176193,0.20348229,-0.0034789108,0.010566773,-0.7735331,0.048258267,0.38559937,0.14671728,-0.58781046,-0.1260269,0.30362937,0.25531825,-0.12135012,0.24113007,0.1281861,-0.0074600168,-0.0076999245,0.1275287,0.20392346,0.27952334,0.3570614,0.37807754,-0.20684312,0.05841487,0.11203857,-0.17020012,0.21690913,-0.29680064,0.17233247,-0.102105,-0.411085,0.050935466,0.14546494,-0.27342287,0.2784654,-0.085423425,0.1694434,-0.21504644,0.3034643,0.055976808,-0.2603507,-0.013862763
Tc,0.43770933,-0.2894709,-0.0028536469,-1.3706129,0.6342095,-0.94214493,-0.4520732,0.25350335,-0.49430025,-0.30387074,-0.18140192,0.19118161,-0.29560876,-0.35361418,0.3444157,0.18522823,-0.09535883,0.080989845,0.11590193,-0.018077478,-0.1278234,0.47976822,-0.19673583,-0.33613452,-0.46868372,-0.7321036,0.530594,-0.7401196,-0.69543767,-0.114520445,-0.059910085,0.16393715,0.16089451,0.15395099,-0.45310116,-0.15810062,-0.54158354,0.100169845,0.4194947,-0.16494544,0.08863605,-0.008742105,-0.10335152,-0.011903937,0.30452126,0.17538926,0.35885108,-0.012039792,-0.3503039,-0.30521777
Ru,-0.64764005,0.6879239,-0.03975472,0.27250665,0.8972354,-0.82260036,-0.89039016,-0.6720931,-0.2645358,-0.061016604,-0.22290075,0.25273716,-0.10346402,-0.64636207,-0.066165835,-0.44297564,-0.25537944,0.6476993,-0.17785384,-0.23982626,-0.027537137,0.35137665,0.62695336,0.08402576,-0.13092713,-0.09235198,-0.09168207,-0.14656986,-0.27015796,0.48704064,0.15746945,-0.2982134,0.2297264,0.45596457,-0.06581699,0.0068048276,0.32468775,-0.17911424,0.57064104,0.22933118,0.015790291,-0.26386902,0.20174237,-0.1408277,-0.20693982,-0.123655796,0.0034918133,-0.32677156,0.1416543,0.1591015
Rh,-0.90717304,0.22140597,0.25226805,0.3460874,-0.30269903,-0.28465146,-0.19010454,0.31255847,0.029761799,-0.3891496,0.47226134,-0.35934657,-0.12057537,0.41361144,-0.48916763,-0.67315495,-0.20923272,0.18176782,0.023360562,-0.31137198,0.70829564,0.5244,0.5179266,0.4795906,-0.42897847,-0.014135083,-0.18770185,-0.1328475,-0.23896131,-0.34654176,-0.14457986,-0.16428612,0.24517825,-0.10264645,0.07677033,0.35527414,0.25953087,-0.0528088,0.10772441,-0.28968304,-0.25993562,0.06523998,-0.22775353,0.05359689,0.49029556,0.039477862,-0.20023209,0.17257895,0.41682324,-0.252425
Pd,-0.88962007,-0.35802066,-0.7389147,1.4143331,0.10371557,-0.5123745,0.44446427,-0.17698006,-0.078912795,-0.070680305,0.13091365,0.63819826,-0.57987094,-0.07710857,-0.015055001,-0.10005014,-0.14489815,0.118262865,-0.18707408,-0.092066355,0.15346391,-0.18582779,0.46391404,0.18133359,-0.06227862,0.22244585,0.059494276,-0.38828367,-0.031476382,0.17956384,-0.061299678,0.32755256,0.10347575,0.07041834,-0.19755322,0.27505052,0.19442408,-0.29925454,-0.28068954,0.2663378,0.078408614,-0.006450083,-0.081299394,-0.1419455,0.0902923,-0.35099822,0.2667328,0.025602425,0.25442332,0.30980557
Ag,-0.60078037,1.9088354,-0.23034614,-0.25592685,0.7047434,-0.6571651,-0.024150372,0.75985146,-0.03692668,-0.6373998,-0.8316153,-0.15629022,1.3825178,-0.646157,-1.3687959,0.17757276,-0.22237056,-0.009698266,0.16607873,-0.20627667,-0.25596303,-0.26137763,-0.123739645,-0.08879229,0.21789497,0.33802512,-0.5730636,-0.15740094,0.10136222,0.5879336,0.10144319,-0.15124565,0.40237343,-0.21492714,-0.31375915,0.10740649,-0.008684323,0.007201965,0.035550322,-0.05703613,0.08357452,-0.24279907,-0.08730935,0.14040163,0.2047899,0.030582696,0.31902483,0.04997132,0.33465,-0.1941395
Cd,-0.6211033,0.105054766,-0.9686622,-0.86387444,-0.03361633,-0.38345188,0.007345803,0.21409172,-0.3350153,-0.4786737,0.026706247,-0.41582164,-0.23101753,0.6828186,-0.35885397,-0.22600746,0.008310683,-0.28965205,0.34434205,0.36135983,0.20659119,-0.4559623,0.2066474,-0.44303903,0.022443896,0.09588239,0.5767379,0.09290974,-0.43753958,0.39207998,-0.0030890924,0.24130291,-0.55992055,0.052226856,0.27409482,0.310626,0.042073444,0.3814041,0.052333295,-0.16726246,-0.12311511,0.10445343,0.40400434,0.15064,0.18271531,0.131261,0.08356642,0.3032058,0.23710223,0.45350015
In,-1.4946449,0.33538508,-0.5851808,0.35612777,-0.011005063,-0.69740677,0.39522386,0.011794116,-0.018612135,0.17743793,-0.41867357,-0.38081354,0.7053447,0.0510431,-0.2107245,-0.013913406,0.16635782,0.12363666,-0.21622837,0.102671646,-0.29304594,0.56752014,-0.37011945,-0.38993332,-0.21695518,-0.081413165,0.024139084,-0.020880364,0.746601,0.14535591,0.4070328,-0.20698187,0.0059245713,0.4580792,0.43041962,0.073225796,-0.17322384,0.22007924,0.03200858,-0.055040862,-0.37348107,0.1326352,0.42729494,-0.34898615,0.010187749,-0.40419626,0.08108622,0.060664166,-0.19863237,0.06593505
Sn,-1.5963197,-0.1869832,-1.0282081,0.79099995,0.21067554,-0.27360296,0.49957818,-0.16120014,0.23390543,0.07763389,0.0074659437,0.030734142,-0.28770232,0.587341,-0.7231458,0.8152892,-0.03810935,0.27644756,-0.29311544,0.029984208,-0.38695836,0.35122386,-0.13283819,-0.47865117,0.048450816,0.11528881,0.155905,0.07473657,-0.022592485,0.107921354,-0.467441,-0.40462932,-0.19097102,-0.5434386,-0.19995111,0.3348579,-0.08728315,-0.23779115,-0.12419808,-0.42213112,-0.19432855,-0.2289365,0.088153645,-0.12826791,-0.23961392,0.25919557,0.17856446,-0.08092014,-0.119639814,-0.034682345
Sb,-0.72049445,0.2125302,-0.29564142,0.17825139,-0.50270283,0.10903014,0.07061197,0.67340064,0.1606861,-0.93383586,-0.21552385,0.08344765,0.31537262,-0.260296,-0.05214493,-0.60663086,-0.5709961,0.017959524,0.18374473,0.14135902,-0.43427253,-0.43972176,0.00018037483,0.33962184,-0.45711935,0.06395178,0.021974564,0.65366125,-0.256576,-0.06917346,-0.3309598,-0.13054022,-0.09406848,-0.30387044,0.52288336,0.11166729,-0.1588813,0.011075007,-0.09513159,0.07099375,0.3512115,-0.10187626,-0.012587661,0.1748103,-0.22600043,0.085729524,0.31915587,0.23594698,-0.07702972,-0.15481323
Te,-0.27577487,0.81337535,0.55155957,-0.4224903,0.08827548,0.0028889086,0.5072173,-0.52913404,0.97903347,-0.09932414,-0.36184147,-0.08304047,-0.58102083,-0.40251315,0.010010676,0.018234285,-0.4397019,0.56144834,-0.69617784,0.092981,-0.3132355,-0.31089473,-0.25212127,-0.6341561,0.22756779,0.050422397,-0.18523501,-0.072110176,-0.08762579,0.465298,0.2808734,0.47788757,-0.42918563,0.41370946,-0.024220172,-0.15837415,0.20674168,-0.5745842,-0.14081028,-0.04024962,-0.014061287,0.100332975,0.27401584,0.5911426,-0.26678222,-0.2860961,0.47998554,-0.16838118,0.06092139,-0.23756388
I,-0.36646023,0.4224435,0.06402575,-1.1742194,0.77810115,0.99109596,0.59513223,-0.35030138,-0.15404876,-0.16912466,-0.90318024,-0.19024852,0.51194715,-0.00327871,0.19655141,-0.20287514,-0.09585656,-0.1264697,-0.6187223,0.5693509,-0.18887061,-0.013395425,0.012174051,0.1385765,0.5042517,-0.45808035,-0.51767755,-0.5124162,-0.33279258,-0.6857443,0.038497664,0.3869266,-0.22469655,-0.28660375,0.13174081,-0.3832326,0.22958872,-0.4540624,-0.017385691,-0.050966438,0.1588282,-0.09130842,-0.07876369,-0.49634182,-0.44108677,0.14129692,-0.2123718,4.4330955e-07,0.3924927,-0.020652678
Xe,-0.72055364,-1.0228316,0.6801846,0.5513337,-0.2702185,1.6073534,-0.6840366,0.32858458,-1.1554163,0.6112717,-0.37444064,-0.24930544,0.23669247,0.5188763,0.10778777,-0.10923522,-1.0476943,-0.5989077,-0.30886158,-0.5814981,0.028667867,-0.31987968,-0.3357569,-0.6266151,0.17685308,0.28519553,-0.011206479,0.2288996,-0.4970696,-0.20480216,-0.41485137,-0.038293913,0.23266639,-0.35082573,-0.41907233,0.05880445,0.04125304,-0.39386615,0.27378947,0.24826942,-0.2671582,-0.53632295,0.7270992,0.009111866,-0.0020276606,-0.2943552,0.20789868,-0.0014012693,-0.02696286,0.29286528
Cs,-1.2910008,-1.5272033,-0.6810519,0.24975637,0.46018583,0.3336798,0.5946913,0.32476223,0.30690467,-0.297283,0.3011399,-0.60287136,0.10047171,-0.5486711,0.02950817,0.38036644,-0.115230806,-0.07777872,0.63672274,-0.34847862,0.34650147,-0.080218054,0.15943725,-0.10351777,0.35839313,0.3444997,-0.32706848,-0.27245143,-0.3927616,-0.5545888,0.040246736,0.19851059,-0.0066601746,0.22588822,-0.07875691,0.16653042,-0.20738772,0.17244396,0.05665523,-0.21596824,0.42716622,-0.26236776,-0.13858166,0.026509346,-0.16073723,0.015742261,-0.18622448,0.2411661,-0.16299333,0.26656008
Ba,0.545824,1.8089918,0.012399912,-0.30161077,-0.3387056,-0.27744454,0.57603246,-0.27869105,-0.7924534,-0.7192231,1.1068664,-0.4018812,0.8465541,0.19426662,1.2911162,1.0787175,-0.06288521,-0.82136387,0.3695851,0.3310821,-0.11585345,0.90975416,-0.15794307,-0.055608958,0.15839967,0.021814235,-0.18525237,0.01555929,-0.13653998,0.34137514,-0.30303383,0.21042153,0.2793917,0.06398558,-0.2847637,0.4034491,0.0020755306,-0.117346026,0.019503295,-0.14165431,0.12723145,-0.3898604,-0.16749704,-0.055805605,0.29113835,-0.3852278,-0.26754826,0.16791639,0.223149,-0.13370636
La,-0.07683103,0.5431353,0.5726917,-0.2812155,0.50629187,-0.7235788,-0.18076316,-0.783661,-0.13123481,0.07195428,0.47104722,0.01835965,-0.11055316,-0.1661377,0.19696635,-0.20108515,0.12931679,-0.4468938,-0.54798317,0.10525854,0.37729657,0.19205968,0.42298937,-0.30644494,-0.34929138,0.5027238,-0.4544884,-0.11817323,0.14053947,-0.6237136,0.038909808,0.36115277,-0.15534432,0.22447848,-0.17157531,0.08259064,-0.12601171,0.14087115,0.1348527,0.45885605,-0.12951602,0.20782223,-0.060804818,-0.10936687,-0.10105026,-0.5317652,0.3490079,0.02793258,0.21845886,0.100249715
Ce,-0.7549131,1.1378622,1.2674541,-0.42735153,-0.27703124,-0.32012284,0.20200446,-0.35072082,0.523744,-0.07655535,-0.68375343,-0.2281886,-0.16968647,-0.21468472,-0.1365844,0.17354329,0.4450205,-0.19567353,0.01247423,-0.83211446,-0.052110717,0.100420885,0.5560465,0.1039888,-0.24900007,0.18074988,-0.03993508,-0.2990427,0.14598793,0.08098793,0.1850645,-0.40625918,0.1862525,-0.14606746,-0.1493793,-0.16443123,0.13865316,-0.05415261,-0.005439909,0.01989688,-0.10199998,0.111260414,-0.1241112,0.015665498,-0.096098825,0.13832521,0.2900949,0.17436583,-0.13927108,0.31352916
Pr,-0.5563377,0.602575,0.9808082,-1.0706316,0.23668338,-0.91915715,0.822206,-0.7164777,0.4444247,-0.11543585,0.49565935,-0.28791058,-0.70905477,-0.29036224,-0.40682572,-0.14181176,-0.3467878,0.25520784,0.15567209,-0.10807331,-0.35137135,-0.3656389,0.1339258,0.17390944,-0.13686639,-0.041155487,-0.13470969,0.18237454,0.503489,-0.3335136,-0.44646335,-0.60382366,-0.003933536,-0.020250177,0.15173545,0.15795866,-0.03759545,0.34879744,-0.11878148,0.19135575,-0.3809347,-0.13341637,-0.23959693,0.12554193,-0.27000377,0.076425314,-0.41529614,-0.046031862,0.14175491,0.24408193
Nd,-0.7556149,-0.9198128,0.12802702,0.008257387,-0.83364266,-0.6273471,0.17667127,-0.4741373,1.071476,-0.012276866,-0.12871394,0.5926042,0.16708049,-0.015378775,-0.22546306,0.57578444,-0.08900048,-0.1628282,0.275382,-0.28167865,0.21798036,-0.2808107,0.51912683,-0.40978402,-0.0607981,-0.10823583,0.15121648,-0.21946393,-0.19938856,-0.50546914,-0.48041004,0.013415955,0.28466457,-0.50752455,0.15555641,-0.07791294,-0.08712815,0.38383526,-0.0405282,0.26733562,-0.026781693,0.056970634,0.20330375,0.1788378,-0.23037562,0.12749434,-0.015327819,0.17673084,-0.042000514,-0.25545284
Pm,0.17484275,-1.1197853,-0.5612602,-0.6578647,-0.15682013,-0.89445925,-0.5778883,0.33404863,-0.8720771,-0.45369264,0.32539403,0.6309859,-0.044498503,-0.21362697,-0.112571865,-0.59658784,-0.17462726,0.15172808,-0.13738018,-0.17851758,-0.1777814,-0.23515306,0.6199317,-0.55184865,0.5802455,-0.79791296,0.2872505,0.26774636,0.016319964,-0.5171657,-0.27139544,-0.10922918,-0.1025023,0.16337158,-0.3583629,0.11467117,-0.10172663,0.084137745,-0.31021327,-0.121114686,0.060570598,0.17313221,-0.17151846,0.22692569,-0.043270536,-0.08894265,0.16897628,-0.054854687,-0.179592,0.43471742
Sm,-1.569897,-1.3426868,1.0974768,0.28809115,-1.0410553,0.09304771,1.5768846,-0.4009282,-0.36014304,0.021302804,0.20083714,-0.19912411,0.03213859,-0.18188748,-0.0794321,-0.52003956,-0.18329363,0.18215469,0.106632516,0.5555713,-0.23277897,0.3659581,-0.18763286,-0.0018755011,-0.41887346,0.0058566257,0.37677732,-0.45180207,0.023823343,0.096921064,-0.098572336,0.047985498,0.24654163,-0.4898639,0.27598506,0.17529932,0.33309954,0.18202835,-0.1069852,-0.22238952,0.40289,0.058979973,-0.1768978,-0.12485962,0.058141284,0.07446711,0.10644395,-0.48420262,0.094319336,0.17382516
Eu,-1.3034999,-0.9425838,1.1873245,-0.35705513,-1.15259,0.0789585,0.79725343,-0.36339867,0.09576405,-0.0499814,0.4073009,-0.26273257,0.23968852,0.24353811,-0.275112,0.041095756,0.44945008,0.28011757,-0.20173693,-0.49876475,-0.4449181,0.6783949,-0.41294545,0.0825345,-0.15844785,0.14337647,-0.0010628365,0.023913983,-0.2065588,0.2859814,0.47488326,-0.04039249,-0.14042586,-0.02387552,-0.55431676,0.36099505,0.17405379,-0.17739195,0.06307249,0.19806907,-0.14847396,0.2675458,0.3445236,-0.14550878,-0.05421216,0.052440703,-0.011842774,0.13220957,-0.07328672,0.117983975
Gd,-0.63140404,-1.0177681,2.172028,-0.9365057,1.3922008,0.60578835,0.7524297,0.08586885,0.19887765,-0.32770884,-0.50007534,-0.2784828,-0.07563032,0.02307783,0.8021332,0.04800053,-0.8073952,1.2805845,0.64232874,-0.5083078,1.0812578,0.12885532,-0.13433062,-0.35420042,0.24467097,-0.14819819,0.1599659,-0.031384878,0.22539754,0.4437667,0.021720156,0.05071675,0.42745474,-0.2493234,-0.18852255,-0.23769502,-0.13729222,0.2859206,-0.5170592,-0.49732533,0.14799419,0.21364741,0.31545538,-0.019438256,0.43202317,-0.14167045,-0.31837854,-0.12540345,0.15999423,0.050984446
Tb,-1.045953,-0.8613696,0.73701364,0.08563747,-0.6935242,-0.18083033,0.17376903,-1.0545871,-0.065662466,0.4944108,0.4787946,-0.35749236,0.08375767,-0.4854827,0.032691523,-0.2718407,0.4783471,-0.50411284,-0.2537268,0.17986451,0.06939869,0.3893104,-0.49596137,-0.021255301,-0.348261,-0.14556675,-0.12451801,0.12482738,0.07067958,-0.104446955,0.4264025,-0.20502783,0.2123073,-0.064413175,-0.32945675,-0.10987358,0.052613664,-0.30327225,-0.04145907,0.3465835,0.19266845,-0.12332856,-0.31111097,-0.2892818,0.15670007,0.25865552,0.14108747,0.20783961,-0.19744977,0.3328715
Dy,-0.96933466,-0.19562033,0.68710274,-0.02737988,-1.2469547,-0.6475003,-0.0548874,-0.61905396,-0.3070674,-0.4901939,0.062223278,-0.045739807,0.3579076,0.15106465,-0.20198026,-0.2993055,0.37869903,0.20030971,0.35179287,-0.072562546,-0.107406184,0.08395105,-0.26597172,0.1135026,-0.5823781,0.23818055,0.16010617,0.071712375,-0.44349766,-0.060008418,0.079503104,-0.22144158,0.25619638,0.41061556,-0.3275918,0.04912644,0.04021189,0.10629401,-0.1720502,0.08153328,0.2989967,0.32594806,0.61065805,0.076998085,-0.48507577,0.1473676,-0.092137985,-0.0348047,0.14755633,-0.43641457
Ho,-0.5241889,-0.58187646,0.901723,0.42608768,-1.1247497,-0.32096523,0.111524284,-0.6170103,0.64445263,-0.14545913,-0.804327,-0.22947271,0.23286158,0.073405154,-0.17582579,-0.29819995,-0.30405903,-0.23759738,-0.10674024,0.08056766,0.6213944,-0.29688337,-0.6913222,-0.12613243,0.13077492,0.15475503,0.039668042,-0.10473992,-0.07446818,-0.6149807,-0.43519935,-0.061536737,0.22514968,0.35750195,0.038086362,0.04822463,-0.11304082,0.25036845,-0.13187464,0.22437504,0.09203494,-0.3681568,0.09801255,0.23327836,0.016662173,-0.018247377,-0.11364688,-0.03444036,0.1390751,-0.23898548
Er,-1.0659416,-0.17371055,0.6731534,0.1080668,-1.3121227,-0.11999094,-0.40455985,0.26366705,0.32594943,-0.08519637,0.0259999,-0.2608755,0.048098747,0.06075557,-0.04185974,-0.4010502,0.5747012,-0.016163547,0.04689413,-0.16842273,-0.09165792,-0.37901047,-0.11505328,-0.33740038,0.032205127,-0.06251154,0.012354303,0.35253707,0.38116866,-0.14344674,0.031422954,-0.45383775,0.16798589,0.111310564,-0.3621683,-0.19649068,0.18053244,0.17021671,-0.09096485,0.16353655,0.19907126,-0.31400096,-0.09430659,-0.06931825,-0.031994514,0.12256984,0.036808133,0.07306443,-0.12471362,0.25871164
Tm,-0.57033646,-0.28457332,1.037295,0.032890707,0.25576377,-0.907797,0.03174023,-0.254734,-0.21075389,0.24260947,0.7015948,-0.33246064,-0.018599723,-0.121776275,-0.046682753,0.49395418,-0.58484256,-0.37442744,-0.58422995,0.6573781,-0.68373,-0.35182825,0.56847924,-0.2758632,0.22660539,0.32086518,0.3470377,-0.6346694,-0.08445535,-0.3541318,0.028240021,0.0889803,-0.141809,0.0074734837,0.07223189,0.38732624,-0.22556806,0.06518602,-0.28931743,0.048118092,-0.21957445,-0.1271815,0.2513269,0.12791996,0.34156,-0.09320812,-0.16982494,-0.18340306,-0.08969061,0.08886069
Yb,-0.122453265,-0.30850124,1.8189768,-0.77874243,0.27214146,-0.6919335,0.025143012,-1.06583,0.053299166,0.50497067,0.9189186,0.6443825,0.20178467,-0.15591004,-0.19624445,-0.09219701,-0.5334992,-0.87206215,0.18793327,0.6934528,-0.14685477,-0.7141286,-0.1770705,0.004244566,0.14185062,-0.005535081,0.46669453,0.04834806,0.1145184,0.10297242,0.28963464,-0.020077847,-0.011075963,0.04443467,0.37563646,0.21336767,-0.06454161,-0.562995,0.1668695,-0.19150221,0.1333273,0.09417546,-0.111496344,-0.121324435,0.03179144,0.20503262,-0.0713719,0.1792023,-0.32444087,-0.14961562
Lu,-0.83385813,-0.7886286,0.1986881,0.28018028,-0.5317928,-0.6187266,-1.0610281,-0.71414375,-0.04332605,0.28554913,-0.8054354,-0.06415578,0.5219853,-0.24078926,0.13784948,-0.37855494,-0.11308376,0.08442316,-0.03370999,-0.2541836,0.030452307,-0.2514465,-0.23038349,-0.5035793,0.08105834,0.061828278,0.30411136,0.26211244,0.2608201,-0.09271175,-0.16138195,0.2164095,0.21245873,-0.16197878,-0.2722378,-0.33894894,-0.11268929,-0.011328525,0.1870277,-0.2492583,-0.24399939,0.20317814,-0.4807794,-0.21315645,0.22374266,-0.106955454,-0.083904,0.06347678,0.2288785,-0.30330825
Hf,-0.23300718,-0.06093697,2.2513998,-0.0025700852,-0.36107415,0.0792243,0.6182221,0.93743503,0.5411061,0.72454226,-0.073268116,1.3250396,-0.76644945,-0.111866325,0.74069357,0.09322709,-0.28640664,0.39284223,0.36217242,0.6483344,-0.15500297,-0.17446369,0.3290624,0.25567064,-0.052517056,0.05563603,-0.17965259,-0.108469084,-0.4536897,0.37763894,-0.19057387,-0.3868155,0.2965307,-0.06764582,0.56598026,-0.1124974,-0.12664819,0.0056298384,0.92708874,0.102723554,-0.12389579,-0.20099841,-0.17903405,0.039307427,0.001128152,-0.19059984,-0.0031765476,0.21692154,0.0585278,0.04580011
Ta,-0.7051937,0.53591484,-0.30037972,0.7465888,0.062032193,-0.7183583,-0.47731215,0.6088335,0.58141243,0.013600089,-0.13166414,-0.82763934,0.54666966,0.15619157,-0.047952358,0.5112859,0.15713361,0.16159998,0.53328043,0.29877156,-0.014888855,0.3463545,-0.1232383,-0.4177071,-0.16153766,-0.22391486,0.11434676,0.42937273,-0.15311189,-0.123809785,-0.018630825,-0.028119985,0.08877794,0.54809636,0.16376661,-0.37909192,-0.13259184,-0.04221502,0.2391803,0.13444324,0.11892303,0.31123304,-0.24844027,0.18463574,-0.100677684,-0.5035808,-0.06452114,-0.09459625,-0.0074704485,0.1651587
W,-0.99612033,0.6095148,-0.42880118,1.2875631,-0.038963623,-0.5207348,0.30992162,0.8167074,0.3946254,1.1017575,0.26168534,0.26725486,0.29775828,-0.2939486,-0.15577066,-0.011282954,0.44177365,-0.34305856,0.15934095,0.12783475,-0.06551253,0.35817093,0.26736814,0.31188935,0.03610766,-0.16331029,0.26932073,-0.32492822,-0.14581625,-0.030281553,-0.2875825,0.20226593,-0.47274452,-0.28147882,-0.24907744,-0.5250251,-0.018361062,-0.27204925,-0.17829183,-0.06166909,-0.21949217,0.024453621,0.24165536,0.42710263,-0.008493781,0.14626417,-0.24770296,-0.20084229,-0.1211271,-0.35462925
Re,-0.9540842,0.12743413,0.75621086,0.37284738,0.7651156,-0.8422229,-0.2916448,-0.33131278,0.13883604,0.8454285,-0.14883195,-0.6155801,-0.69173205,0.47130978,-0.018098336,0.8643124,-0.11590001,0.3027777,0.23141837,0.018483466,0.24930257,-0.0046729897,0.11040799,0.101340644,-0.23308262,0.22024027,-0.40840378,-0.35752574,0.018233139,-0.21661828,0.21149187,0.025225285,-0.3241014,0.2961793,-0.24415767,-0.50816894,-0.09235438,-0.118649855,-0.4403072,0.08650936,0.068800546,-0.345105,-0.03548983,0.22453505,0.13131186,0.13699959,0.017984152,-0.035867136,0.2030079,-0.2813095
Os,-0.56349707,0.101913966,-0.39629522,0.46509105,-0.16839328,-0.57475877,-0.75145555,-0.12349976,0.7610284,0.28661782,0.24633053,-0.08566878,0.123743296,0.32110548,-0.3158607,-0.6041078,-0.24059352,0.0059166625,0.11901787,-0.30504686,0.40640825,0.12104503,0.527969,0.2302933,0.05957935,-0.18062422,-0.16871966,-0.10111736,0.17947412,0.008712246,0.20671283,0.024313798,0.13475318,0.012666764,0.0028431453,0.35263827,0.19637683,-0.22007328,0.50336313,-0.14072526,0.03321597,-0.016601125,0.03915251,-0.3224166,0.13890584,0.025008416,-0.10765576,-0.10314155,-0.2573824,-0.15743132
Ir,-0.010239974,1.8701904,0.7015841,0.9714342,-0.818244,-0.60051835,-0.4925431,-0.19519159,-0.7046573,0.52308655,-0.6269066,0.8132897,0.91632485,0.029947016,-0.24882963,-0.6114056,-0.11992647,-0.0680634,0.6778884,0.1167576,0.78138506,0.17107943,0.07523038,0.24612471,0.43981698,0.24239272,-0.27037162,-0.36961368,0.4196666,-0.13338539,0.2750349,0.2549463,-0.5088697,0.26028663,0.3218052,0.3350425,0.10720462,0.16591056,0.030997511,0.002841115,-0.19856508,0.017600812,0.104375266,0.28852105,0.058867626,0.20639026,-0.1113152,-0.377625,-0.051465496,0.08862506
Pt,-1.4983485,-0.78279376,-0.14200574,1.4048922,0.61745745,-0.34336868,0.18888266,0.6243627,-0.35584226,-0.01050931,-0.25436786,-0.29000828,-0.72599155,0.20477837,-0.39939108,0.033510927,-0.29470932,-0.33510163,0.0012670904,-0.048962027,0.16833587,0.03440079,0.38305414,0.42600265,0.35681558,-0.20002115,-0.4209358,0.09122077,-0.07962801,-0.22691996,0.1636506,-0.15236016,0.26287335,0.54060495,-0.14519545,0.17900598,0.21309945,-0.12160048,-0.0959103,-0.35755453,0.07957451,-0.17646313,0.19806731,-0.0703307,0.29472247,0.20547542,0.26531813,0.097644135,-0.20761015,-0.21283814
